LCLid,total_daily,total_weekly,total_monthly,total_annual,min_cons,min_time,max_cons,max_time,peak_duration,avg_weekday,avg_weekend,avg_monthly,avg_seasonal,load_factor,ramp_rate,activation_hour,deactivation_hour,load_shift,occupancy_rate,variance,std_dev,weekends_impact,annual_trend,autocorr,crest_factor,kmeans_cluster,dbscan_cluster
MAC000002,6095.6720007,6095.6720007,6095.6720007,6095.6720007,0.0,00:30:00,2.994,20:00:00,9,0.24932451183694282,0.2677893518807871,358.5689412176471,0.24611629118135014,0.08433979254698258,0.10926620825220541,17.708910891089108,7.9465346534653465,0.05430538463798057,0.899009900990099,0.06105064875565521,0.2470842948381285,1.0604958655354022,,0.4108555057687156,8.474716523242567,2,-1
MAC000003,14080.862002599999,14080.862002599999,14080.8620026,14080.8620026,0.007,11:00:00,3.921,01:00:00,251,0.3990563297384901,0.39113819436507913,563.234480104,0.3960582231094605,0.10131871476242088,0.17672894510623122,1.2283783783783784,12.251351351351351,0.5025092891605187,0.9,0.37785438067092647,0.6146986096217613,0.9845634563080129,,0.8707566861002259,5.357338733990322,1,-1
MAC000004,1119.8390000999998,1119.8390000999998,1119.8390001,1119.8390001,0.0,13:00:00,1.0650001,08:00:00,1,0.03507361191463688,0.03618964086313566,50.901772731818184,0.03537684698616399,0.03321829532260068,0.06631058668056745,11.055891238670695,0.13141993957703926,0.0016910803253206638,0.8987915407854985,0.005350575067249835,0.07314762516479831,1.0229726285929004,,0.011045341752797144,13.107286342186752,0,-1
MAC000006,2167.448,2167.4480000000003,2167.448,2167.448,0.0,11:30:00,0.801,09:30:00,17,0.060432869815133565,0.05698775077160492,83.3633846153846,0.0593748173943818,0.07426725924280861,0.034344952516878316,10.768725361366624,3.8081471747700393,0.03456836677520013,0.9001314060446781,0.0027627211277497002,0.05256159365686794,0.9579693258447427,,0.35916974982814903,10.09046920977097,0,-1
MAC000007,4952.6959994,4952.695999399999,4952.6959994,4952.6959994,0.015,05:30:00,3.7839999,13:30:00,2,0.1878975449061467,0.2223236084591241,275.14977774444446,0.19649074602891078,0.05229551074345572,0.10583341979462103,15.424474187380497,4.906309751434034,0.1459477502941623,0.8986615678776291,0.054942390548489886,0.23439793204823692,1.1235465503091009,,0.3382967690563362,12.33554308003284,0,-1
MAC000008,9440.650000100002,9440.650000100002,9440.6500001,9440.6500001,0.0,13:00:00,3.5810001,17:30:00,6,0.3645824182423045,0.3600935996540994,524.480555561111,0.37567932743659893,0.10142019688117224,0.10087546653329676,13.818014705882353,7.744485294117647,0.134923509338728,0.9007352941176471,0.058432946330926494,0.24172907630429255,0.9928874560604364,,0.26573301159046225,8.208153847527422,2,-1
MAC000009,4513.734000500001,4513.734000500001,4513.734000500001,4513.734000500001,0.027,14:00:00,2.4349999,12:00:00,3,0.1773217285974799,0.1824306623621795,250.76300002777782,0.17330048595079478,0.07350077732168818,0.09085804357825406,11.42314990512334,3.79696394686907,0.12495317754697646,0.8994307400379506,0.028826944534866828,0.16978499502272523,1.0192425032739116,,0.44716774531952835,9.870551579321228,0,-1
MAC000010,13780.230996999999,13780.230996999999,13780.230997000002,13780.230997,0.113,04:00:00,4.1890001,13:30:00,7,0.5415599465719091,0.5715641890906531,765.5683887222224,0.5364002946514204,0.13142195602053777,0.2199234517778689,16.680688336520078,3.797323135755258,0.34790021263706483,0.8986615678776291,0.1857850286720868,0.43102787458827624,1.0382135989043129,,0.4481241495831335,5.991276930314293,3,-1
MAC000011,7446.026000599999,7446.026000600001,7446.0260006,7446.0260006,0.04,09:30:00,2.582,18:00:00,8,0.31166271010163826,0.32127790971599557,438.00152944705883,0.30821576050338323,0.1217418553348182,0.12346080127496177,15.874747474747474,9.064646464646465,0.11874894540616063,0.898989898989899,0.06875373467557147,0.2622093336927034,1.0220472529308453,,0.3344681065115031,6.307721597437332,2,-1
MAC000012,1086.3829998,1086.3829998,1086.3829997999999,1086.3829998,0.0,23:00:00,1.345,18:30:00,4,0.044793611359952745,0.04212202467696494,63.90488234117646,0.04373951435443248,0.03276487516037304,0.02663782400713879,7.945631067961165,1.6563106796116505,0.017256023337439835,0.8990291262135922,0.006433517911880062,0.08020921338524685,0.9556048101946275,,0.43035892082316446,14.696766004125799,0,-1
